name,name_hi,name_gu
Surat,सूरत,સુરત
Jaipur,जयपुर,જયપુર
Lucknow,लखनऊ,લખનઉ
Chandigarh,चंडीगढ़,ચંડીગઢ
Pune,पुणे,પુણે
Indore,इंदौर,ઇન્દોર
Bhopal,भोपाल,ભોપાલ
Vadodara,वडोदरा,વડોદરા
Nagpur,नागपुर,નાગપુર
Patna,पटना,પટના
